method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB,experiment,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p,shared_from,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,sigma_cd,f1_mean,f1_std,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,25,None,5.58012,0.745993,25,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,50,None,10.0541,1.28559,50,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,19.1145,2.4222,100,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,200,None,36.6336,4.60925,200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,400,None,71.0647,8.98478,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,25,None,14.4927,9.23645,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,50,None,28.7686,18.6951,800,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,77.5975,51.5567,1600,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,200,None,167.883,111.661,3200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,400,None,357.593,237.781,6400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,25,None,7.6481,2.41444,400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,50,None,16.3047,5.91153,800,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,37.4403,14.4373,1600,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,200,None,99.9932,45.9355,3200,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,400,None,209.53,93.06,6400,,,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,all,63.1103,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,all,233.976,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,all,122.78,,,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,100,None,,,,,,peak_mem,6.98061,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-A,100,None,,,,,,peak_mem,60.1962,1.0288,1.0288,16.4608,0.2048,16.4608,35.184,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPF-B,100,None,,,,,,peak_mem,53.351,,,,,,,compute_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGD,100,None,,,,,,,,,,,,,,main,performance,f1,0.499424,0.00102889,10,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-SGD,100,None,,,,,,,,,,,,,,main,performance,f1,0.48535,0.000903019,10,,,,,,,,,,,,,,,,,,,,,,,,,,
